名詞(複合語),(回数),形容詞,(回数),動詞,(回数),副詞,(回数),連体詞,(回数),接続詞,(回数)
お肌,16,,,止める,3,さらに,1,,,,,
お手ごろ価格,16,,,かくせる,3,どんなに,1,,,,,
ニキビ,16,,,兼ねる,3,直ぐに,1,,,,,
信頼,16,,,おもう,3,きちっと,1,,,,,
楽,16,,,伸ばせる,3,はっきり,1,,,,,
パフ,16,,,与える,3,,,,,,,
資生堂,16,,,落ち着く,3,,,,,,,
安心感,15,,,のばす,3,,,,,,,
スーパー,15,,,おく,3,,,,,,,
油,15,,,探す,3,,,,,,,
人,15,,,くう,3,,,,,,,
あと,15,,,とる,3,,,,,,,
愛用,15,,,無くなる,3,,,,,,,
大丈夫,15,,,うつる,3,,,,,,,
見た目,15,,,ちる,3,,,,,,,
油分,15,,,来る,3,,,,,,,
薄付,15,,,いく,3,,,,,,,
天然成分,15,,,求める,3,,,,,,,
サラサラ感,15,,,広がる,3,,,,,,,
種類,14,,,揃える,3,,,,,,,
一緒,14,,,守る,3,,,,,,,
かさ,14,,,仕上る,3,,,,,,,
リーズナブル,14,,,つかえる,3,,,,,,,
さそう,14,,,試せる,3,,,,,,,
不使用,14,,,のばせる,3,,,,,,,
使い,14,,,揃う,3,,,,,,,
白,14,,,取る,3,,,,,,,
イメージ,14,,,疲れる,3,,,,,,,
光,14,,,併せる,3,,,,,,,
肌トラブル,14,,,使い切る,2,,,,,,,
夏,14,,,なつく,2,,,,,,,
化粧水,13,,,かわる,2,,,,,,,
化粧持ち,13,,,分る,2,,,,,,,
それ,13,,,そろえる,2,,,,,,,
季節,13,,,ついてる,2,,,,,,,
普通,13,,,乾く,2,,,,,,,
中,13,,,洗う,2,,,,,,,
日焼け止め,13,,,かえる,2,,,,,,,
日焼け,13,,,書く,2,,,,,,,
皮膚呼吸,13,,,けす,2,,,,,,,
しっとり感,12,,,買い換える,2,,,,,,,
つけ,12,,,そろう,2,,,,,,,
金額,12,,,擦る,2,,,,,,,
ノビ,12,,,適す,2,,,,,,,
パウダータイプ,12,,,解る,2,,,,,,,
延び,12,,,ます,2,,,,,,,
持続,12,,,混じる,2,,,,,,,
夏用,12,,,決める,2,,,,,,,
ラメ,12,,,思える,2,,,,,,,
ごち,12,,,吹く,2,,,,,,,
たくさん,12,,,果たす,2,,,,,,,
基礎化粧品,12,,,信じる,2,,,,,,,
紫外線対策,12,,,掛かる,2,,,,,,,
違和感,11,,,おこす,2,,,,,,,
ツヤ感,11,,,なでる,2,,,,,,,
臭い,11,,,流す,2,,,,,,,
UV,11,,,はがれる,2,,,,,,,
機能,11,,,続ける,2,,,,,,,
美白,11,,,こだわる,2,,,,,,,
調子,11,,,寝る,2,,,,,,,
オイルカット,11,,,飽きる,2,,,,,,,
紫外線カット,11,,,引く,2,,,,,,,
物,11,,,かかわる,2,,,,,,,
一年中,11,,,はたく,2,,,,,,,
おしゃれ,11,,,つくる,2,,,,,,,
自然派化粧品,10,,,焼ける,2,,,,,,,
両方,10,,,当たる,2,,,,,,,
ツヤ,10,,,かう,2,,,,,,,
サンプル,10,,,消す,2,,,,,,,
形,10,,,なす,2,,,,,,,
ナチュラル感,10,,,かす,2,,,,,,,
ファンデ,10,,,つくれる,2,,,,,,,
赤ちゃん,10,,,溶ける,2,,,,,,,
肌触り,10,,,消せる,2,,,,,,,
配合,10,,,貰う,2,,,,,,,
ん,10,,,載る,2,,,,,,,
近く,10,,,取り扱う,2,,,,,,,
クリーム状,10,,,直す,2,,,,,,,
気持ち,10,,,言える,2,,,,,,,
原料,10,,,映える,2,,,,,,,
カバ,10,,,触る,2,,,,,,,
いつ,10,,,すく,2,,,,,,,
自然化粧品,10,,,出来上がる,2,,,,,,,
スポンジ,10,,,劣る,2,,,,,,,
評判,10,,,頂く,2,,,,,,,
具合,10,,,いろづく,1,,,,,,,
製品,10,,,入れ替える,1,,,,,,,
素肌感覚,10,,,届く,1,,,,,,,
赤み,10,,,酔う,1,,,,,,,
手間,10,,,だせる,1,,,,,,,
テカら,10,,,おう,1,,,,,,,
使い勝手,10,,,上がる,1,,,,,,,
圧迫感,9,,,きせる,1,,,,,,,
用,9,,,くける,1,,,,,,,
夏場,9,,,持ち歩ける,1,,,,,,,
指定成分,9,,,にじむ,1,,,,,,,
併用,9,,,ふせげる,1,,,,,,,
無油分,9,,,噴く,1,,,,,,,
ＵＶケア,9,,,頼る,1,,,,,,,
べたつき,9,,,頑張る,1,,,,,,,
問題,9,,,目だつ,1,,,,,,,
化粧もち,9,,,足りる,1,,,,,,,
パクト,9,,,叩く,1,,,,,,,
お手頃価格,9,,,撮る,1,,,,,,,
ＵＶカット効果,9,,,わく,1,,,,,,,
自然派,9,,,直せる,1,,,,,,,
スキンケア,9,,,遣う,1,,,,,,,
状態,9,,,ささる,1,,,,,,,
馴染み,9,,,凝る,1,,,,,,,
ウォータープルーフ,9,,,持ち合わせる,1,,,,,,,
カワイイ,9,,,収まる,1,,,,,,,
対応,9,,,つる,1,,,,,,,
鏡,9,,,とりだす,1,,,,,,,
色目,9,,,ほてる,1,,,,,,,
UVカット効果,9,,,さえる,1,,,,,,,
店員さん,9,,,痛む,1,,,,,,,
UV効果,9,,,通じる,1,,,,,,,
リフィル,9,,,省ける,1,,,,,,,
ニキビ肌,8,,,わる,1,,,,,,,
パウダーファンデーション,8,,,買い求める,1,,,,,,,
無添加化粧品,8,,,塞ぐ,1,,,,,,,
お店,8,,,まとまる,1,,,,,,,
素材,8,,,押す,1,,,,,,,
お気に入り,8,,,ねる,1,,,,,,,
持ち運び,8,,,滲む,1,,,,,,,
塗り心地,8,,,生かす,1,,,,,,,
しわ,8,,,汚す,1,,,,,,,
適当,8,,,きれる,1,,,,,,,
シリーズ,8,,,たどり着く,1,,,,,,,
敏感,8,,,楽しめる,1,,,,,,,
クリーム,8,,,悩む,1,,,,,,,
有名,8,,,行き渡る,1,,,,,,,
コーセー,8,,,通う,1,,,,,,,
必要,8,,,すべる,1,,,,,,,
コンパクトケース,8,,,含める,1,,,,,,,
素顔,8,,,おちつく,1,,,,,,,
ノンオイル,8,,,ぼかす,1,,,,,,,
近所,8,,,押える,1,,,,,,,
細やか,8,,,ぼる,1,,,,,,,
パッケージデザイン,8,,,ためす,1,,,,,,,
ツキ,8,,,いえる,1,,,,,,,
呼吸,8,,,埋める,1,,,,,,,
薄化粧,8,,,はやる,1,,,,,,,
テカ,8,,,とぶ,1,,,,,,,
入れ物,8,,,あせる,1,,,,,,,
アトピー,8,,,おとす,1,,,,,,,
光沢,8,,,壊れる,1,,,,,,,
皮膚,8,,,ひろがる,1,,,,,,,
スー,8,,,返せる,1,,,,,,,
通信販売,8,,,写る,1,,,,,,,
両用,8,,,はなつ,1,,,,,,,
天然素材,8,,,見合う,1,,,,,,,
一切,7,,,着せる,1,,,,,,,
すべすべ,7,,,癒す,1,,,,,,,
無臭,7,,,火照る,1,,,,,,,
バリエーション,7,,,乗り換える,1,,,,,,,
毎回,7,,,栄える,1,,,,,,,
それなり,7,,,組む,1,,,,,,,
部分,7,,,もたつく,1,,,,,,,
他の,7,,,しれる,1,,,,,,,
スティックタイプ,7,,,貰える,1,,,,,,,
抜群,7,,,そむ,1,,,,,,,
体,7,,,見かける,1,,,,,,,
ネット,7,,,あつかう,1,,,,,,,
為,7,,,見つかる,1,,,,,,,
全体,7,,,足す,1,,,,,,,
利用,7,,,散る,1,,,,,,,
店頭,7,,,残す,1,,,,,,,
肌理,7,,,送る,1,,,,,,,
サラ,7,,,増える,1,,,,,,,
試供品,7,,,ぶる,1,,,,,,,
酸化,7,,,弱る,1,,,,,,,
