しっとり, 副詞, 3, 50, (2) 副詞-副詞, 431
する, 動詞, 3, 50, (2) 用言-動詞-て-い-て, 432
適度, 名詞, 3, 50, (1) 体言-名詞-な, 437
カバー力, 複合語, 3, 50, (1) 体言-名詞-名詞-が, 439
ある, 動詞, 3, 50, (2) 用言-動詞, 442
何となく, 副詞, 3, 51, (2) 副詞-副詞, 443
カバー力, 複合語, 3, 52, (1) 体言-名詞-名詞-が, 444
ある, 動詞, 3, 52, (2) 用言-動詞, 447
ノリ, 名詞, 3, 53, (1) 体言-名詞-が, 448
良い, 形容詞, 3, 53, (2) 用言-形容詞-て, 450
ヨレ, 名詞, 3, 53, (1) 体言-名詞, 452
ない, 形容詞, 3, 53, (2) 用言-形容詞, 453
美白効果, 複合語, 3, 53, (1) 体言-名詞-名詞-名詞, 455
薄付き, 複合語, 3, 54, (1) 体言-名詞-名詞-で, 459
カバー力, 複合語, 3, 54, (1) 体言-名詞-名詞-が, 462
ある, 動詞, 3, 54, (2) 用言-動詞, 465
値段, 名詞, 3, 55, (1) 体言-名詞-が, 467
安い, 形容詞, 3, 55, (2) 用言-形容詞, 469
保, 名詞, 3, 56, (1) 体言-名詞, 470
湿る, 動詞, 3, 56, (2) 用言-動詞, 471
効果, 名詞, 3, 56, (1) 体言-名詞, 472
色合い, 名詞, 3, 57, (1) 体言-名詞-が, 473
良い, 形容詞, 3, 57, (2) 用言-形容詞, 475
すばやい, 形容詞, 3, 58, (2) 用言-形容詞, 476
のびる, 動詞, 3, 58, (2) 用言-動詞-て, 477
化粧崩れ, 複合語, 3, 58, (1) 体言-名詞-名詞-が, 479
少ない, 形容詞, 3, 58, (2) 用言-形容詞, 482
生協, 複合語, 3, 59, (1) 体言-名詞-名詞-で, 484
あつかう, 動詞, 3, 59, (2) 用言-動詞-てる-ので, 487
安心, 名詞, 3, 59, (1) 体言-名詞, 490
できる, 動詞, 3, 59, (2) 用言-動詞, 491
化粧崩れ, 複合語, 3, 60, (1) 体言-名詞-名詞-が, 492
する, 動詞, 3, 60, (2) 用言-動詞-ない, 495
点, 名詞, 3, 60, (1) 体言-名詞-が, 497
いい, 形容詞, 3, 60, (2) 用言-形容詞-です, 499
しっとり, 副詞, 3, 61, (2) 副詞-副詞, 502
する, 動詞, 3, 61, (2) 用言-動詞, 503
薄い, 形容詞, 3, 61, (2) 用言-形容詞, 505
付く, 動詞, 3, 61, (2) 用言-動詞-のに, 506
きれい, 名詞, 3, 61, (1) 体言-名詞-に, 509
仕上がる, 動詞, 3, 61, (2) 用言-動詞, 511
敏感肌, 複合語, 3, 62, (1) 体言-名詞-名詞-だ-けれど, 513
この, 連体詞, 3, 62, (2) 連体詞-連体詞, 518
ファンデーション, 名詞, 3, 62, (1) 体言-名詞-に, 519
する, 動詞, 3, 62, (2) 用言-動詞-て-から, 521
