SEQ,,合計,ドラッグストア,デパート,ブランド専門のインターネット通信販売,大型スーパー,化粧品専門店,インターネット以外の通信販売,その他,ディスカウント系のインターネット通信販売,バラエティショップ,コンビニエンスストア,食品スーパー,ディスカウントショップ（ドンキホーテ等）,ホームセンター
434,周り,5,0,2,0,2,0,1,0,0,0,0,0,0,0
435,厚塗り感,5,4,0,1,0,0,0,0,0,0,0,0,0,0
436,天然,5,0,0,2,0,0,3,0,0,0,0,0,0,0
437,最適,5,1,1,2,0,0,0,1,0,0,0,0,0,0
438,女優肌,5,0,1,1,0,0,1,0,2,0,0,0,0,0
439,どちら,5,1,0,3,1,0,0,0,0,0,0,0,0,0
440,相性,5,2,0,0,1,1,0,0,0,0,1,0,0,0
441,間,5,2,1,1,0,0,0,1,0,0,0,0,0,0
442,ブランドイメージ,5,2,2,0,0,1,0,0,0,0,0,0,0,0
443,ボトル,5,2,2,0,0,0,0,1,0,0,0,0,0,0
444,タイプ,5,2,1,0,1,0,0,1,0,0,0,0,0,0
445,大人,5,2,2,1,0,0,0,0,0,0,0,0,0,0
446,アトピー肌,5,1,1,0,1,2,0,0,0,0,0,0,0,0
447,びがいいところ,5,1,0,0,0,1,2,1,0,0,0,0,0,0
448,カーバー力,5,1,1,0,0,0,1,2,0,0,0,0,0,0
449,モノ,5,3,0,1,0,1,0,0,0,0,0,0,0,0
450,お手軽,5,2,1,0,0,0,2,0,0,0,0,0,0,0
451,健康的,5,1,2,0,2,0,0,0,0,0,0,0,0,0
452,印象,5,1,2,1,0,0,0,0,1,0,0,0,0,0
453,短時間,5,1,1,0,1,0,0,0,1,0,0,0,0,1
454,生協,5,0,0,0,0,0,1,3,0,0,0,1,0,0
455,'ＵＶ',5,3,0,0,2,0,0,0,0,0,0,0,0,0
456,粉浮き,5,2,2,0,0,0,1,0,0,0,0,0,0,0
457,顔全体,5,1,2,0,0,2,0,0,0,0,0,0,0,0
458,服,5,3,0,0,1,0,0,0,1,0,0,0,0,0
459,水ファンデーション,5,0,0,1,0,1,1,2,0,0,0,0,0,0
460,かん,5,3,1,1,0,0,0,0,0,0,0,0,0,0
461,宣伝,5,2,1,0,2,0,0,0,0,0,0,0,0,0
462,矢田亜希子,4,1,1,0,2,0,0,0,0,0,0,0,0,0
463,薄付け,4,0,2,0,0,0,1,1,0,0,0,0,0,0
464,回数,4,0,2,0,0,0,1,0,0,1,0,0,0,0
465,お手軽価格,4,1,1,0,1,0,1,0,0,0,0,0,0,0
466,新商品,4,3,0,0,0,1,0,0,0,0,0,0,0,0
467,リキッドファンデ,4,1,2,0,0,1,0,0,0,0,0,0,0,0
468,肌付き,4,1,1,1,1,0,0,0,0,0,0,0,0,0
469,期待,4,0,0,0,0,1,2,0,1,0,0,0,0,0
470,しみそばかす,4,1,1,1,1,0,0,0,0,0,0,0,0,0
471,口コミ,4,1,2,0,1,0,0,0,0,0,0,0,0,0
472,毛穴カバー,4,3,0,0,1,0,0,0,0,0,0,0,0,0
473,ｶﾊﾞｰ力,4,2,1,0,0,1,0,0,0,0,0,0,0,0
474,調節,4,0,1,0,0,0,1,2,0,0,0,0,0,0
475,スティック,4,3,1,0,0,0,0,0,0,0,0,0,0,0
476,サッパリ,4,3,0,0,0,0,0,1,0,0,0,0,0,0
477,吸収,4,0,2,0,0,1,0,1,0,0,0,0,0,0
478,パウダーファンデ,4,1,0,1,0,2,0,0,0,0,0,0,0,0
479,カサカサ,4,1,2,1,0,0,0,0,0,0,0,0,0,0
480,日焼け防止,4,2,0,0,1,0,1,0,0,0,0,0,0,0
481,何処,4,4,0,0,0,0,0,0,0,0,0,0,0,0
482,きめ細か,4,0,0,2,0,0,1,1,0,0,0,0,0,0
483,凹凸,4,0,1,0,0,3,0,0,0,0,0,0,0,0
484,日,4,0,0,0,1,1,1,1,0,0,0,0,0,0
485,てごろ,4,2,0,0,0,0,2,0,0,0,0,0,0,0
486,水性,4,0,0,0,0,0,2,2,0,0,0,0,0,0
487,ファンケル,4,0,1,2,1,0,0,0,0,0,0,0,0,0
488,ケア,4,1,2,0,0,0,0,0,1,0,0,0,0,0
489,ところ｡,4,0,0,0,0,3,1,0,0,0,0,0,0,0
490,比較,4,1,0,1,1,1,0,0,0,0,0,0,0,0
491,美容成分,4,0,0,1,0,2,1,0,0,0,0,0,0,0
492,かゆみ,4,1,2,0,0,1,0,0,0,0,0,0,0,0
493,化粧品独特,4,1,2,0,0,0,0,1,0,0,0,0,0,0
494,化粧落ち,4,2,1,0,0,1,0,0,0,0,0,0,0,0
495,調整,4,0,0,1,0,0,1,1,1,0,0,0,0,0
496,コスパ,4,2,1,1,0,0,0,0,0,0,0,0,0,0
497,石油系,4,0,0,0,0,1,1,2,0,0,0,0,0,0
498,'OK',4,1,1,1,0,0,0,1,0,0,0,0,0,0
499,頬ずり,4,3,0,0,0,0,0,1,0,0,0,0,0,0
500,ツヤ肌,4,1,1,0,0,0,1,0,1,0,0,0,0,0
501,子供,4,2,0,0,0,0,2,0,0,0,0,0,0,0
502,つや感,4,2,2,0,0,0,0,0,0,0,0,0,0,0
503,自然体,4,0,1,1,1,0,0,1,0,0,0,0,0,0
504,一回,4,1,2,0,0,1,0,0,0,0,0,0,0,0
505,ここ,4,1,2,1,0,0,0,0,0,0,0,0,0,0
506,薄塗り,4,0,1,1,0,0,1,0,1,0,0,0,0,0
507,値ごろ感,4,0,0,0,1,0,0,0,1,1,0,0,0,1
508,付,4,0,1,0,0,1,0,0,2,0,0,0,0,0
509,一日,4,1,1,1,0,0,1,0,0,0,0,0,0,0
510,頻繁,4,1,1,1,0,0,0,1,0,0,0,0,0,0
511,親切,4,0,3,0,1,0,0,0,0,0,0,0,0,0
512,自然素材,4,0,0,0,0,1,2,1,0,0,0,0,0,0
513,感想,4,2,2,0,0,0,0,0,0,0,0,0,0,0
514,化粧乗り,4,2,1,0,0,1,0,0,0,0,0,0,0,0
515,ところ色,4,1,1,0,0,0,1,0,1,0,0,0,0,0
516,不要,4,0,0,0,0,2,0,2,0,0,0,0,0,0
517,ベース,4,1,1,0,1,0,0,1,0,0,0,0,0,0
518,雰囲気,4,1,3,0,0,0,0,0,0,0,0,0,0,0
519,反射,4,0,1,1,1,1,0,0,0,0,0,0,0,0
520,的,4,0,2,0,0,1,0,1,0,0,0,0,0,0
521,鉱物油,4,0,0,0,0,1,2,1,0,0,0,0,0,0
522,脂性,4,2,0,1,1,0,0,0,0,0,0,0,0,0
523,ブランド自体,4,2,1,0,0,1,0,0,0,0,0,0,0,0
524,水溶性,4,0,0,1,0,1,1,1,0,0,0,0,0,0
525,崩れ,4,0,1,0,1,2,0,0,0,0,0,0,0,0
526,嫌,4,2,2,0,0,0,0,0,0,0,0,0,0,0
527,会社,4,0,1,1,1,0,1,0,0,0,0,0,0,0
528,余計,4,0,1,2,0,0,0,1,0,0,0,0,0,0
529,キャンペーン,4,0,0,2,0,0,2,0,0,0,0,0,0,0
530,立体的,4,1,0,1,1,0,0,0,1,0,0,0,0,0
531,つや肌,4,1,1,0,0,0,0,0,0,1,1,0,0,0
532,大変,4,0,0,0,4,0,0,0,0,0,0,0,0,0
533,毎日,4,1,0,0,1,1,0,0,0,0,0,0,0,1
534,１番,4,4,0,0,0,0,0,0,0,0,0,0,0,0
535,ポーチ,4,2,1,0,1,0,0,0,0,0,0,0,0,0
536,好み,4,2,1,1,0,0,0,0,0,0,0,0,0,0
537,注文,4,0,0,2,0,0,1,1,0,0,0,0,0,0
538,立体感,4,3,1,0,0,0,0,0,0,0,0,0,0,0
539,マッチ,4,1,2,0,0,1,0,0,0,0,0,0,0,0
540,化粧浮き,4,2,0,0,0,0,0,0,2,0,0,0,0,0
541,入手,4,0,1,1,2,0,0,0,0,0,0,0,0,0
542,気分,4,0,1,0,1,1,0,1,0,0,0,0,0,0
543,唯一,4,1,1,1,0,0,0,0,1,0,0,0,0,0
544,最近,4,1,0,0,1,0,1,0,1,0,0,0,0,0
545,ニオイ,3,0,1,1,0,0,0,1,0,0,0,0,0,0
546,ＳＰＦ値,3,2,1,0,0,0,0,0,0,0,0,0,0,0
547,内容,3,0,0,1,0,0,1,1,0,0,0,0,0,0
548,日本人,3,1,1,0,0,1,0,0,0,0,0,0,0,0
549,肌あれ,3,1,1,0,1,0,0,0,0,0,0,0,0,0
550,'SPF',3,0,2,0,0,0,0,1,0,0,0,0,0,0
551,クレンジング,3,1,0,0,0,0,1,1,0,0,0,0,0,0
552,アラ,3,0,0,0,1,0,0,0,1,1,0,0,0,0
553,安売り,3,2,0,0,0,0,1,0,0,0,0,0,0,0
554,くま,3,0,2,0,0,0,1,0,0,0,0,0,0,0
555,水化粧,3,0,0,0,0,1,1,1,0,0,0,0,0,0
556,皮膚科,3,1,0,0,0,0,0,2,0,0,0,0,0,0
557,ところカバー力,3,1,2,0,0,0,0,0,0,0,0,0,0,0
558,今回,3,1,0,0,1,1,0,0,0,0,0,0,0,0
559,嫌い,3,1,1,0,0,0,1,0,0,0,0,0,0,0
560,スル,3,1,0,1,0,1,0,0,0,0,0,0,0,0
561,知名度,3,3,0,0,0,0,0,0,0,0,0,0,0,0
562,吹き出物,3,1,0,0,0,1,0,1,0,0,0,0,0,0
563,色見,3,2,0,0,0,1,0,0,0,0,0,0,0,0
564,微粒子パウダー,3,1,0,1,0,0,1,0,0,0,0,0,0,0
565,皮脂浮き,3,0,0,0,0,0,2,1,0,0,0,0,0,0
566,詰め替え,3,0,0,2,1,0,0,0,0,0,0,0,0,0
567,オイル,3,0,0,0,0,1,1,1,0,0,0,0,0,0
568,安め,3,1,1,0,0,1,0,0,0,0,0,0,0,0
569,店員,3,0,3,0,0,0,0,0,0,0,0,0,0,0
570,母,3,1,0,0,0,1,0,1,0,0,0,0,0,0
571,保存料,3,0,0,0,0,0,1,1,1,0,0,0,0,0
572,殆ど,3,0,0,1,0,0,0,1,0,1,0,0,0,0
573,発売,3,2,0,0,0,0,1,0,0,0,0,0,0,0
574,身体,3,0,0,0,1,0,0,2,0,0,0,0,0,0
575,美白成分,3,1,2,0,0,0,0,0,0,0,0,0,0,0
576,平気,3,0,1,2,0,0,0,0,0,0,0,0,0,0
577,季節ごと,3,1,0,0,2,0,0,0,0,0,0,0,0,0
578,様,3,0,1,0,2,0,0,0,0,0,0,0,0,0
579,最初,3,1,2,0,0,0,0,0,0,0,0,0,0,0
580,フイット,3,1,0,0,2,0,0,0,0,0,0,0,0,0
581,頬,3,0,1,0,0,2,0,0,0,0,0,0,0,0
582,あまり,3,1,0,0,1,0,1,0,0,0,0,0,0,0
583,艶肌,3,1,0,0,0,0,0,1,0,0,1,0,0,0
584,タレント,3,2,1,0,0,0,0,0,0,0,0,0,0,0
585,ブルー,3,1,0,0,2,0,0,0,0,0,0,0,0,0
586,企業,3,3,0,0,0,0,0,0,0,0,0,0,0,0
587,下地クリーム,3,1,0,0,0,1,0,0,1,0,0,0,0,0
588,クリニーク,3,0,2,0,0,0,0,1,0,0,0,0,0,0
589,携帯,3,2,0,0,0,0,0,0,0,1,0,0,0,0
590,年間,3,1,1,0,0,0,1,0,0,0,0,0,0,0
591,'♪',3,1,1,1,0,0,0,0,0,0,0,0,0,0
592,面倒,3,1,2,0,0,0,0,0,0,0,0,0,0,0
593,びがいい,3,0,1,2,0,0,0,0,0,0,0,0,0,0
594,他社,3,0,0,1,1,0,0,1,0,0,0,0,0,0
595,ホワイトニング効果,3,0,1,1,0,1,0,0,0,0,0,0,0,0
596,ゴージャス,3,1,0,1,0,1,0,0,0,0,0,0,0,0
597,ほか,3,0,0,1,0,2,0,0,0,0,0,0,0,0
598,塗りむら,3,2,1,0,0,0,0,0,0,0,0,0,0,0
599,表情,3,1,1,0,1,0,0,0,0,0,0,0,0,0
600,肌馴染み,3,1,0,0,1,0,0,0,0,0,0,0,0,1
601,目,3,1,0,0,1,0,0,0,0,1,0,0,0,0
602,圧塗り,3,1,1,0,0,0,1,0,0,0,0,0,0,0
603,ドラックストア,3,3,0,0,0,0,0,0,0,0,0,0,0,0
604,らい,3,2,0,0,0,1,0,0,0,0,0,0,0,0
605,有害物質,3,0,0,1,0,1,1,0,0,0,0,0,0,0
606,可能,3,0,2,0,0,0,0,1,0,0,0,0,0,0
607,失敗,3,2,0,0,1,0,0,0,0,0,0,0,0,0
608,上品,3,0,2,0,1,0,0,0,0,0,0,0,0,0
609,ブランド名,3,0,0,0,1,1,0,0,0,0,0,0,1,0
610,一度,3,0,0,0,0,0,2,0,1,0,0,0,0,0
611,固形,3,3,0,0,0,0,0,0,0,0,0,0,0,0
612,特別,3,2,0,0,0,1,0,0,0,0,0,0,0,0
613,カサ,3,2,1,0,0,0,0,0,0,0,0,0,0,0
614,信用,3,0,1,0,0,1,0,0,0,0,0,1,0,0
615,ほお,3,3,0,0,0,0,0,0,0,0,0,0,0,0
616,薄好き,3,0,2,0,0,1,0,0,0,0,0,0,0,0
617,マット感,3,0,1,1,1,0,0,0,0,0,0,0,0,0
618,マックスファクター,3,2,0,0,0,1,0,0,0,0,0,0,0,0
619,中身,3,2,0,0,0,1,0,0,0,0,0,0,0,0
620,地肌,3,2,1,0,0,0,0,0,0,0,0,0,0,0
621,ゾーン用,3,0,0,0,0,1,0,2,0,0,0,0,0,0
622,得,3,2,0,0,1,0,0,0,0,0,0,0,0,0
623,結果,3,1,0,1,0,0,1,0,0,0,0,0,0,0
624,持ち,3,1,0,1,0,0,0,0,1,0,0,0,0,0
625,肌そのもの,3,0,2,0,0,0,1,0,0,0,0,0,0,0
626,紫外線防止効果,3,0,1,0,0,0,1,0,1,0,0,0,0,0
627,有名ブランド,3,2,0,0,1,0,0,0,0,0,0,0,0,0
628,バランス,3,0,1,0,0,1,1,0,0,0,0,0,0,0
629,際,3,1,0,0,0,0,1,1,0,0,0,0,0,0
630,身近,3,1,0,0,1,0,0,0,0,0,0,0,0,1
631,女優さん,3,2,1,0,0,0,0,0,0,0,0,0,0,0
632,ピタ,3,1,1,0,0,0,0,1,0,0,0,0,0,0
633,コラーゲン,3,0,1,0,0,0,2,0,0,0,0,0,0,0
634,付け,3,1,0,1,0,0,1,0,0,0,0,0,0,0
635,リキット,3,1,1,0,1,0,0,0,0,0,0,0,0,0
636,オールシーズン使用,3,0,0,1,1,1,0,0,0,0,0,0,0,0
637,パラベン,3,1,0,0,0,1,0,1,0,0,0,0,0,0
638,お化粧直し,3,0,2,0,0,0,1,0,0,0,0,0,0,0
639,ライン,3,0,0,1,1,0,1,0,0,0,0,0,0,0
640,勧め,3,2,0,0,0,1,0,0,0,0,0,0,0,0
641,魅力,3,1,0,0,1,0,0,1,0,0,0,0,0,0
642,エマルジョンタイプ,3,1,1,0,1,0,0,0,0,0,0,0,0,0
643,天然由来,3,0,0,0,0,0,1,2,0,0,0,0,0,0
644,ごちがい,3,2,0,0,1,0,0,0,0,0,0,0,0,0
645,ソフィーナ,3,1,1,0,1,0,0,0,0,0,0,0,0,0
646,レイシャス,3,2,1,0,0,0,0,0,0,0,0,0,0,0
647,知人,3,2,0,0,0,0,0,1,0,0,0,0,0,0
648,１年中,3,1,0,0,0,0,1,1,0,0,0,0,0,0
649,扱い,3,1,0,1,0,0,0,1,0,0,0,0,0,0
650,専用,3,0,1,1,0,0,0,0,0,0,1,0,0,0
651,使い分け,3,0,0,0,1,0,1,1,0,0,0,0,0,0
652,自由,3,0,1,1,0,0,1,0,0,0,0,0,0,0
653,朝,3,1,2,0,0,0,0,0,0,0,0,0,0,0
654,nasi,3,0,2,1,0,0,0,0,0,0,0,0,0,0
655,ため肌,3,0,0,1,0,0,1,1,0,0,0,0,0,0
656,1番,3,2,0,0,1,0,0,0,0,0,0,0,0,0
657,ほう,3,0,1,1,0,0,1,0,0,0,0,0,0,0
658,おしろい,3,0,0,0,0,0,2,1,0,0,0,0,0,0
659,デリケート,3,0,0,0,1,0,1,0,0,1,0,0,0,0
660,強力,3,1,0,2,0,0,0,0,0,0,0,0,0,0
661,十分,3,0,0,0,1,0,1,0,0,0,1,0,0,0
662,充実,3,2,1,0,0,0,0,0,0,0,0,0,0,0
663,テクスチャー,3,1,2,0,0,0,0,0,0,0,0,0,0,0
664,オールシーズンタイプ,3,2,0,0,0,1,0,0,0,0,0,0,0,0
665,原材料,3,0,2,0,0,0,1,0,0,0,0,0,0,0
666,タッチ,3,1,1,0,0,0,0,1,0,0,0,0,0,0
667,まとめ買い,3,0,0,1,0,0,0,2,0,0,0,0,0,0
668,ぜん,3,1,0,0,0,1,1,0,0,0,0,0,0,0
669,別,3,1,1,0,1,0,0,0,0,0,0,0,0,0
670,オークル,3,1,1,0,1,0,0,0,0,0,0,0,0,0
671,冬用,3,1,0,1,0,0,0,1,0,0,0,0,0,0
672,ところ自分,3,1,0,0,1,0,1,0,0,0,0,0,0,0
673,年中,3,1,0,0,1,1,0,0,0,0,0,0,0,0
674,旅行,3,2,1,0,0,0,0,0,0,0,0,0,0,0
675,写真,3,0,1,1,1,0,0,0,0,0,0,0,0,0
676,お得,3,0,0,0,0,0,1,0,2,0,0,0,0,0
677,まま,3,1,0,0,0,1,1,0,0,0,0,0,0,0
678,シャネル,3,1,1,0,0,1,0,0,0,0,0,0,0,0
679,水分,3,1,1,0,0,0,1,0,0,0,0,0,0,0
680,調合,3,0,1,0,0,0,1,1,0,0,0,0,0,0
681,一年,3,2,1,0,0,0,0,0,0,0,0,0,0,0
682,販売,3,1,0,0,0,0,0,2,0,0,0,0,0,0
683,邪魔,2,0,0,0,1,0,0,0,0,0,1,0,0,0
684,使用可能,2,0,1,1,0,0,0,0,0,0,0,0,0,0
685,コマーシャル,2,1,0,0,1,0,0,0,0,0,0,0,0,0
686,手近,2,1,0,0,0,0,0,1,0,0,0,0,0,0
687,づれない,2,0,1,0,1,0,0,0,0,0,0,0,0,0
688,UVカット仕様,2,0,1,0,0,0,1,0,0,0,0,0,0,0
689,乾燥ぎみ,2,2,0,0,0,0,0,0,0,0,0,0,0,0
690,抵抗,2,0,0,1,0,0,0,1,0,0,0,0,0,0
691,パラベンフリー,2,0,1,1,0,0,0,0,0,0,0,0,0,0
692,美容液配合,2,1,0,1,0,0,0,0,0,0,0,0,0,0
693,サラット,2,1,0,0,0,1,0,0,0,0,0,0,0,0
694,独特,2,1,0,1,0,0,0,0,0,0,0,0,0,0
695,花王,2,1,1,0,0,0,0,0,0,0,0,0,0,0
696,ビン,2,1,0,0,0,1,0,0,0,0,0,0,0,0
697,午後,2,0,2,0,0,0,0,0,0,0,0,0,0,0
698,CMキャラクター,2,1,1,0,0,0,0,0,0,0,0,0,0,0
699,一目,2,2,0,0,0,0,0,0,0,0,0,0,0,0
700,プレゼント,2,0,0,1,0,0,0,1,0,0,0,0,0,0
701,重ね塗り,2,0,0,1,0,1,0,0,0,0,0,0,0,0
702,防止,2,0,0,0,0,1,0,0,1,0,0,0,0,0
703,陶器,2,0,1,0,1,0,0,0,0,0,0,0,0,0
704,カンジ,2,1,1,0,0,0,0,0,0,0,0,0,0,0
705,にきび肌,2,0,1,0,0,1,0,0,0,0,0,0,0,0
706,崩れ方,2,1,1,0,0,0,0,0,0,0,0,0,0,0
707,UVケア,2,0,1,0,0,0,0,1,0,0,0,0,0,0
708,パラペン,2,0,0,1,0,0,1,0,0,0,0,0,0,0
709,何,2,0,0,0,1,0,1,0,0,0,0,0,0,0
710,ら,2,1,0,0,0,0,0,1,0,0,0,0,0,0
711,香,2,1,0,0,0,1,0,0,0,0,0,0,0,0
712,だま,2,0,0,0,2,0,0,0,0,0,0,0,0,0
713,同じ,2,1,1,0,0,0,0,0,0,0,0,0,0,0
714,粉粉,2,1,1,0,0,0,0,0,0,0,0,0,0,0
715,１年,2,1,0,0,0,1,0,0,0,0,0,0,0,0
716,いや,2,0,0,1,0,1,0,0,0,0,0,0,0,0
717,味方,2,1,0,1,0,0,0,0,0,0,0,0,0,0
718,洗顔料,2,0,0,0,0,0,2,0,0,0,0,0,0,0
719,モチ,2,1,1,0,0,0,0,0,0,0,0,0,0,0
720,ナチュナル,2,0,1,0,0,1,0,0,0,0,0,0,0,0
721,色移り,2,1,0,1,0,0,0,0,0,0,0,0,0,0
722,リキットタイプ,2,1,1,0,0,0,0,0,0,0,0,0,0,0
723,重宝,2,1,0,0,1,0,0,0,0,0,0,0,0,0
724,クリームファンデ,2,2,0,0,0,0,0,0,0,0,0,0,0,0
725,ほのか,2,0,2,0,0,0,0,0,0,0,0,0,0,0
726,ナチュラルメーク,2,1,0,1,0,0,0,0,0,0,0,0,0,0
727,愛着,2,0,1,0,0,1,0,0,0,0,0,0,0,0
728,ＵＶカット機能,2,0,1,0,0,0,1,0,0,0,0,0,0,0
729,次,2,0,1,0,0,0,0,0,1,0,0,0,0,0
730,ダマ,2,0,1,0,0,0,0,0,0,0,0,0,1,0
731,ウオータータイプ,2,0,0,0,0,0,1,0,0,1,0,0,0,0
732,無機顔料,2,0,0,1,0,0,1,0,0,0,0,0,0,0
733,冬場,2,0,0,0,0,1,0,1,0,0,0,0,0,0
734,つぶ,2,0,0,0,1,1,0,0,0,0,0,0,0,0
735,色め,2,0,0,0,0,1,0,1,0,0,0,0,0,0
736,にきび跡,2,0,1,0,1,0,0,0,0,0,0,0,0,0
737,テカラ,2,1,1,0,0,0,0,0,0,0,0,0,0,0
738,密着感,2,1,0,0,0,0,1,0,0,0,0,0,0,0
739,控え目,2,0,1,1,0,0,0,0,0,0,0,0,0,0
740,第一,2,0,2,0,0,0,0,0,0,0,0,0,0,0
741,大,2,0,0,1,0,0,0,1,0,0,0,0,0,0
742,'DHC',2,0,0,2,0,0,0,0,0,0,0,0,0,0
743,感想肌,2,1,0,0,0,1,0,0,0,0,0,0,0,0
744,送料無料,2,0,0,1,0,0,1,0,0,0,0,0,0,0
745,コレ,2,1,0,0,1,0,0,0,0,0,0,0,0,0
746,様々,2,0,1,0,0,0,0,1,0,0,0,0,0,0
747,吸着,2,0,0,0,0,1,0,1,0,0,0,0,0,0
748,'(',2,1,1,0,0,0,0,0,0,0,0,0,0,0
749,スッ,2,2,0,0,0,0,0,0,0,0,0,0,0,0
750,形状,2,0,1,1,0,0,0,0,0,0,0,0,0,0
751,耐水性,2,1,0,1,0,0,0,0,0,0,0,0,0,0
752,日常,2,0,0,0,0,0,1,0,0,0,0,0,1,0
753,ヒアルロン酸,2,0,1,0,0,0,1,0,0,0,0,0,0,0
754,化粧下地,2,1,0,0,0,0,1,0,0,0,0,0,0,0
755,一塗り,2,1,0,1,0,0,0,0,0,0,0,0,0,0
756,納得,2,0,0,1,0,0,0,0,0,0,0,0,0,1
757,気楽,2,0,2,0,0,0,0,0,0,0,0,0,0,0
758,その他,2,1,0,0,0,1,0,0,0,0,0,0,0,0
759,粗,2,0,0,1,0,0,0,0,1,0,0,0,0,0
760,凸凹,2,2,0,0,0,0,0,0,0,0,0,0,0,0
761,シッカリ,2,0,1,0,0,1,0,0,0,0,0,0,0,0
762,付き心地,2,1,0,1,0,0,0,0,0,0,0,0,0,0
763,メーク,2,0,0,0,1,0,0,0,0,1,0,0,0,0
764,ゴテゴテ,2,0,1,0,0,0,0,0,0,1,0,0,0,0
765,別売り,2,0,0,0,0,0,1,1,0,0,0,0,0,0
766,プレスドパウダー,2,0,0,1,0,0,1,0,0,0,0,0,0,0
767,液,2,0,0,1,0,0,0,1,0,0,0,0,0,0
768,'ＯＫ',2,0,1,0,1,0,0,0,0,0,0,0,0,0
769,ニキビ跡,2,0,0,0,0,1,0,1,0,0,0,0,0,0
770,小分け,2,1,0,0,1,0,0,0,0,0,0,0,0,0
771,自然感,2,1,0,0,0,0,1,0,0,0,0,0,0,0
772,魅力的,2,1,0,1,0,0,0,0,0,0,0,0,0,0
773,工夫,2,0,0,0,0,0,1,1,0,0,0,0,0,0
774,リキッドみたい,2,0,1,0,0,0,0,1,0,0,0,0,0,0
775,外箱,2,0,2,0,0,0,0,0,0,0,0,0,0,0
776,満足感,2,0,2,0,0,0,0,0,0,0,0,0,0,0
777,スポーツ,2,2,0,0,0,0,0,0,0,0,0,0,0,0
778,脂性肌,2,1,0,0,0,0,1,0,0,0,0,0,0,0
779,ころ,2,1,0,0,1,0,0,0,0,0,0,0,0,0
780,天然成分100％,2,0,0,0,0,0,2,0,0,0,0,0,0,0
781,開発,2,0,1,0,0,1,0,0,0,0,0,0,0,0
782,シルク,2,0,0,2,0,0,0,0,0,0,0,0,0,0
783,表示,2,1,0,1,0,0,0,0,0,0,0,0,0,0
784,伸び肌,2,1,0,0,0,1,0,0,0,0,0,0,0,0
785,艶感,2,0,2,0,0,0,0,0,0,0,0,0,0,0
786,スティックファンデーション,2,0,1,0,0,0,0,1,0,0,0,0,0,0
787,UV対策,2,0,0,1,0,0,1,0,0,0,0,0,0,0
788,つきの,2,0,1,0,0,1,0,0,0,0,0,0,0,0
789,奇麗,2,1,0,0,0,0,0,1,0,0,0,0,0,0
790,クリームファンデーション,2,0,1,0,0,0,0,0,0,1,0,0,0,0
791,ＵＶカット力,2,0,0,0,0,1,1,0,0,0,0,0,0,0
792,美容効果,2,0,1,0,0,0,0,0,1,0,0,0,0,0
793,防腐剤等,2,1,0,1,0,0,0,0,0,0,0,0,0,0
794,お値打ち,2,1,0,0,0,0,1,0,0,0,0,0,0,0
795,ファンデーション特有,2,1,0,0,0,1,0,0,0,0,0,0,0,0
796,持続性,2,0,0,0,0,0,0,1,1,0,0,0,0,0
797,'１つ',2,0,0,0,0,1,0,1,0,0,0,0,0,0
798,秋冬用,2,2,0,0,0,0,0,0,0,0,0,0,0,0
799,そこそこ,2,1,0,0,0,0,1,0,0,0,0,0,0,0
800,内面,2,0,0,0,0,1,0,1,0,0,0,0,0,0
801,丁度,2,2,0,0,0,0,0,0,0,0,0,0,0,0
802,イメージキャラクター,2,1,0,0,0,0,1,0,0,0,0,0,0,0
803,手ごろ肌,2,0,0,1,0,0,1,0,0,0,0,0,0,0
804,せっけん,2,0,0,1,0,0,1,0,0,0,0,0,0,0
805,マッド,2,1,0,0,0,1,0,0,0,0,0,0,0,0
806,セール,2,1,0,0,0,0,1,0,0,0,0,0,0,0
807,新製品,2,2,0,0,0,0,0,0,0,0,0,0,0,0
808,アレルギー肌,2,0,1,0,0,0,0,0,1,0,0,0,0,0
809,自分好み,2,1,0,0,0,1,0,0,0,0,0,0,0,0
810,多め,2,0,1,0,0,0,1,0,0,0,0,0,0,0
811,矢田亜希子ちゃん,2,2,0,0,0,0,0,0,0,0,0,0,0,0
812,量販店,2,0,0,0,2,0,0,0,0,0,0,0,0,0
813,がち,2,0,1,1,0,0,0,0,0,0,0,0,0,0
814,植物,2,0,0,1,0,0,0,0,1,0,0,0,0,0
815,大好き,2,0,2,0,0,0,0,0,0,0,0,0,0,0
816,手触り,2,1,0,0,0,0,1,0,0,0,0,0,0,0
817,シーズンごと,2,1,0,0,0,1,0,0,0,0,0,0,0,0
818,クレンジング不要,2,0,0,1,0,0,0,0,1,0,0,0,0,0
819,鉱物,2,0,0,0,0,1,0,1,0,0,0,0,0,0
820,べた,2,0,0,1,0,1,0,0,0,0,0,0,0,0
821,理由,2,1,0,0,0,1,0,0,0,0,0,0,0,0
822,オールシーズン対応,2,1,1,0,0,0,0,0,0,0,0,0,0,0
823,均等,2,1,0,0,0,1,0,0,0,0,0,0,0,0
824,ゴージャス感,2,1,1,0,0,0,0,0,0,0,0,0,0,0
825,色選び,2,0,2,0,0,0,0,0,0,0,0,0,0,0
826,透明,2,0,0,0,1,0,0,0,1,0,0,0,0,0
827,天然１００％,2,0,0,0,0,0,2,0,0,0,0,0,0,0
828,自体,2,0,1,0,0,1,0,0,0,0,0,0,0,0
829,容量,2,0,1,0,0,0,0,0,0,1,0,0,0,0
830,アルソア,2,0,0,0,0,1,0,1,0,0,0,0,0,0
