SEQ,,合計,ドラッグストア,デパート,ブランド専門のインターネット通信販売,大型スーパー,化粧品専門店,インターネット以外の通信販売,その他,ディスカウント系のインターネット通信販売,バラエティショップ,コンビニエンスストア,食品スーパー,ディスカウントショップ（ドンキホーテ等）,ホームセンター
1239,特別好き,1,0,0,0,0,0,0,1,0,0,0,0,0,0
1240,１００円ショップ,1,0,0,0,0,0,0,0,0,1,0,0,0,0
1241,ペア,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1242,ナチュラル肌,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1243,かな点,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1244,改善,1,0,0,1,0,0,0,0,0,0,0,0,0,0
1245,ＳＰＦ１７,1,0,0,0,0,1,0,0,0,0,0,0,0,0
1246,エルシア,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1247,エアータッチ,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1248,挑戦,1,0,0,0,0,0,1,0,0,0,0,0,0,0
1249,安値,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1250,対象年齢,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1251,買物ついで,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1252,ユーヴィーカット,1,0,0,1,0,0,0,0,0,0,0,0,0,0
1253,複数購入,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1254,美白効果カバー力,1,0,0,0,1,0,0,0,0,0,0,0,0,0
1255,素肌みたい,1,0,0,1,0,0,0,0,0,0,0,0,0,0
1256,１８歳,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1257,コンシーらー,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1258,購入手配,1,0,0,0,0,0,0,1,0,0,0,0,0,0
1259,最小限,1,0,0,0,0,0,1,0,0,0,0,0,0,0
1260,カラーコントロール下地,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1261,共通性,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1262,半日,1,0,0,0,0,0,0,1,0,0,0,0,0,0
1263,商品自身,1,0,0,0,0,0,1,0,0,0,0,0,0,0
1264,びてつきがいい,1,0,0,1,0,0,0,0,0,0,0,0,0,0
1265,スゥーッ,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1266,自分肌,1,0,0,0,0,1,0,0,0,0,0,0,0,0
1267,ナシ,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1268,びがいいくずれにくい,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1269,親,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1270,いろいろ,1,0,0,1,0,0,0,0,0,0,0,0,0,0
1271,TV通販番組,1,0,0,0,0,0,1,0,0,0,0,0,0,0
1272,基本的,1,0,0,0,0,1,0,0,0,0,0,0,0,0
1273,タッチ適度,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1274,人みたい,1,0,0,0,0,0,0,0,0,1,0,0,0,0
1275,痛み,1,0,0,0,0,0,1,0,0,0,0,0,0,0
1276,特別他,1,0,0,0,0,0,0,1,0,0,0,0,0,0
